category,city,fax,name,country,address2,address,brand,phone,state,postal_code,location,last_checked,location_geocells,image_url,id
4,Scottsdale,(480) 515-9699,"Sheraton Desert Oasis Villas, Scottsdale",United States,,17700 North Hayden Road,sheraton,(480) 515-5888,Arizona,85255,"33.646283,-111.908385",2010-09-23T17:52:55,"[u'8', u'8d', u'8da', u'8daa', u'8daab', u'8daab6', u'8daab6c', u'8daab6cd', u'8daab6cd4', u'8daab6cd4f', u'8daab6cd4fa', u'8daab6cd4fa5', u'8daab6cd4fa5b']",http://www.starwoodhotels.com/pub/media/5611/svo5611gr.41512_tn.jpg,5611
1,Mataram,(62)(370) 693241,Sheraton Senggigi Beach Resort,Indonesia,"Lombok, NTB",PO Box 1154,sheraton,(62)(370) 693333,West Nusa Tenggara,83015,"-8.5818496,116.1095036",2010-09-22T17:10:13,"[u'7', u'7b', u'7b0', u'7b0e', u'7b0ee', u'7b0ee1', u'7b0ee18', u'7b0ee18b', u'7b0ee18b2', u'7b0ee18b2b', u'7b0ee18b2b1', u'7b0ee18b2b17', u'7b0ee18b2b178']",http://www.starwoodhotels.com/pub/media/121/she121ex.50799_tn.jpg,121
2,Birmingham,(205) 307-3045,Sheraton Birmingham Hotel,United States,,2101 Richard Arrington Jr. Boulevard North,sheraton,(205) 324-5000,Alabama,35203,"33.514416,-86.803527",2010-09-23T17:08:25,"[u'9', u'98', u'98a', u'98ae', u'98ae9', u'98ae98', u'98ae989', u'98ae9899', u'98ae98995', u'98ae98995e', u'98ae98995e9', u'98ae98995e96', u'98ae98995e96b']",http://www.starwoodhotels.com/pub/media/115/she115ex.64153_tn.jpg,115
2,Foshan,(86)(757) 2288 8888,Sheraton Shunde Hotel,China,"Daliang, Shunde District",11 Desheng Zhong Road,sheraton,(86)(757) 2888 8888,Guangdong,528300,"23.03322,113.11656",2010-09-23T02:40:33,"[u'd', u'd9', u'd90', u'd900', u'd900b', u'd900b5', u'd900b50', u'd900b508', u'd900b5080', u'd900b5080d', u'd900b5080d5', u'd900b5080d5b', u'd900b5080d5bd']",http://www.starwoodhotels.com/pub/media/3191/she3191ex.83494_tn.jpg,3191
4,Dasman,(965) 2252 8334,Le Méridien Kuwait,Kuwait,"PO Box 27, Bneid Al Gar",Arabian Gulf Road,lemeridien,(965) 2251 0999,,15451,"29.3858069,48.0022112",2010-09-23T09:04:36,"[u'c', u'cc', u'cc8', u'cc86', u'cc86a', u'cc86a4', u'cc86a48', u'cc86a48e', u'cc86a48e4', u'cc86a48e40', u'cc86a48e40c', u'cc86a48e40cb', u'cc86a48e40cb8']",http://www.starwoodhotels.com/pub/media/1883/mer1883ex.87186_tn.jpg,1883
4,Santiago,(56)(2) 770 0001,W Santiago,Chile,Las Condes,Isidora Goyenechea 3000,whotels,(56)(2) 770 0000,,,"-33.41409,-70.59849",2010-09-22T14:49:28,"[u'3', u'32', u'325', u'3251', u'32517', u'32517a', u'32517ac', u'32517acd', u'32517acd7', u'32517acd74', u'32517acd74f', u'32517acd74f7', u'32517acd74f75']",http://www.starwoodhotels.com/pub/media/1979/who1979ex.86674_tn.jpg,1979
2,East Hartford,(860) 289-4728,Sheraton Hartford Hotel,United States,,100 East River Drive,sheraton,(860) 528-9703,Connecticut,06108,"41.7670902,-72.6610387",2010-09-24T11:49:59,"[u'9', u'9a', u'9ad', u'9ada', u'9ada3', u'9ada39', u'9ada393', u'9ada3938', u'9ada3938b', u'9ada3938bd', u'9ada3938bdb', u'9ada3938bdbc', u'9ada3938bdbca']",http://www.starwoodhotels.com/pub/media/1272/she1272ex.83765_tn.jpg,1272
2,Linthicum,(410) 691-9069,Aloft Baltimore Washington International Airport,United States,,1741 West Nursery Road,alofthotels,(410) 691-6969,Maryland,21090,"39.1957314,-76.6808343",2010-09-24T11:54:00,"[u'9', u'9a', u'9a6', u'9a6b', u'9a6b9', u'9a6b9f', u'9a6b9fe', u'9a6b9fe8', u'9a6b9fe8c', u'9a6b9fe8ce', u'9a6b9fe8ced', u'9a6b9fe8cedc', u'9a6b9fe8cedca']",http://www.starwoodhotels.com/pub/media/3047/alf3047ex.88509_tn.jpg,3047
3,Virginia Beach,(757) 428-5352,Sheraton Virginia Beach Oceanfront Hotel,United States,,3501 Atlantic Avenue,sheraton,(757) 425-9000,Virginia,23451,"36.863808,-75.979042",2010-09-24T04:02:58,"[u'9', u'9a', u'9a6', u'9a61', u'9a617', u'9a617d', u'9a617de', u'9a617de2', u'9a617de29', u'9a617de29f', u'9a617de29f0', u'9a617de29f0a', u'9a617de29f0aa']",http://www.starwoodhotels.com/pub/media/814/she814po.42767_tn.jpg,814
5,San Francisco,(415) 817-7823,W San Francisco,United States,,181 3rd Street,whotels,(415) 777-5300,California,94103,"37.785182,-122.400484",2010-09-24T11:58:01,"[u'8', u'8e', u'8e6', u'8e62', u'8e62d', u'8e62df', u'8e62dfb', u'8e62dfb3', u'8e62dfb34', u'8e62dfb34c', u'8e62dfb34cd', u'8e62dfb34cd8', u'8e62dfb34cd80']",http://www.starwoodhotels.com/pub/media/1153/who1153ex.27823_tn.jpg,1153
3,Caguas,(787) 653-1700,Four Points by Sheraton Caguas Real Hotel & Casino,United States,,500 Alhambra en Granada Boulevard,fourpoints,(787) 653-1111,Puerto Rico,00726,"18.22047,-66.04066",2010-09-22T22:07:20,"[u'9', u'93', u'938', u'9383', u'9383a', u'9383a8', u'9383a8c', u'9383a8c3', u'9383a8c3e', u'9383a8c3e6', u'9383a8c3e6e', u'9383a8c3e6ec', u'9383a8c3e6eca']",http://www.starwoodhotels.com/pub/media/1548/na1548ex1_tn.jpg,1548
3,Lombard,(630) 719-8079,The Westin Lombard Yorktown Center,United States,,70 Yorktown Center,westin,(630) 719-8000,Illinois,60148,"41.839722,-88.007222",2010-09-24T12:02:01,"[u'9', u'9a', u'9a8', u'9a8b', u'9a8b9', u'9a8b94', u'9a8b944', u'9a8b9446', u'9a8b94467', u'9a8b944678', u'9a8b9446781', u'9a8b94467814', u'9a8b944678148']",http://www.starwoodhotels.com/pub/media/1526/wes1526ex.53448_tn.jpg,1526
5,Salzburg,(43)(662) 843349,"Hotel Goldener Hirsch, Salzburg",Austria,,Getreidegasse 37,luxury,(43)(662) 80840,,5020,"47.7998979,13.0409689",2010-09-24T12:06:02,"[u'e', u'e0', u'e04', u'e04b', u'e04bb', u'e04bba', u'e04bba9', u'e04bba9e', u'e04bba9e2', u'e04bba9e28', u'e04bba9e28c', u'e04bba9e28c3', u'e04bba9e28c32']",http://www.starwoodhotels.com/pub/media/98/lux98ex.49951_tn.jpg,98
3,Dresden,(49)(351) 8051609,"The Westin Bellevue, Dresden",Germany,,Grosse Meissner Strasse 15,westin,(49)(351) 8050,,01097,"51.05839,13.73923",2010-09-24T07:39:23,"[u'e', u'e0', u'e0c', u'e0c1', u'e0c1d', u'e0c1d2', u'e0c1d2b', u'e0c1d2b3', u'e0c1d2b3a', u'e0c1d2b3a4', u'e0c1d2b3a49', u'e0c1d2b3a49c', u'e0c1d2b3a49ce']",http://www.starwoodhotels.com/pub/media/1106/wes1106ex.92034_tn.jpg,1106
5,Palma de Mallorca,(34)(971) 787200,Sheraton Mallorca Arabella Golf Hotel,Spain,,"Carrer de la Vinagrella, Urbanization Son Vida",sheraton,(34)(971) 787100,,07013,"39.5902846,2.59277",2010-09-24T12:10:03,"[u'c', u'ca', u'ca8', u'ca81', u'ca817', u'ca8171', u'ca8171b', u'ca8171bd', u'ca8171bd7', u'ca8171bd7d', u'ca8171bd7d5', u'ca8171bd7d57', u'ca8171bd7d57f']",http://www.starwoodhotels.com/pub/media/116/lux116ex.42596_tn.jpg,116
3,Orlando,(407) 240-1300,Sheraton Suites Orlando Airport,United States,,7550 Augusta National Drive,sheraton,(407) 240-5555,Florida,32822,"28.455578,-81.307927",2010-09-23T08:24:30,"[u'9', u'98', u'989', u'9894', u'98942', u'98942e', u'98942ed', u'98942ed4', u'98942ed43', u'98942ed433', u'98942ed433b', u'98942ed433b5', u'98942ed433b55']",http://www.starwoodhotels.com/pub/media/1317/na1317ex9_tn.jpg,1317
3,Atlanta,(404) 564-3001,Sheraton Atlanta Perimeter North Hotel,United States,,800 Hammond Drive,sheraton,(404) 564-3000,Georgia,30328,"33.919612,-84.3607059",2010-09-23T19:30:25,"[u'9', u'9a', u'9a1', u'9a10', u'9a100', u'9a100a', u'9a100aa', u'9a100aa6', u'9a100aa6e', u'9a100aa6e1', u'9a100aa6e14', u'9a100aa6e144', u'9a100aa6e144a']",http://www.starwoodhotels.com/pub/media/3089/she3089ex.61775_tn.jpg,3089
4,Boston,(617) 532-4630,The Westin Boston Waterfront,United States,,425 Summer Street,westin,(617) 532-4600,Massachusetts,02210,"42.3461861,-71.0432362",2010-09-24T12:14:03,"[u'9', u'9a', u'9af', u'9af1', u'9af11', u'9af11f', u'9af11fc', u'9af11fc6', u'9af11fc6f', u'9af11fc6f5', u'9af11fc6f56', u'9af11fc6f569', u'9af11fc6f5698']",http://www.starwoodhotels.com/pub/media/1528/wes1528ex.35799_tn.jpg,1528
3,Cambridge,(519) 653-6901,"Four Points by Sheraton Cambridge Kitchener, Ontario",Canada,,210 Preston Parkway,fourpoints,(519) 653-2690,Ontario,N3H 5N1,"43.3991453,-80.3775626",2010-09-24T06:15:16,"[u'9', u'9a', u'9ab', u'9ab6', u'9ab6d', u'9ab6db', u'9ab6db9', u'9ab6db97', u'9ab6db974', u'9ab6db974d', u'9ab6db974d3', u'9ab6db974d36', u'9ab6db974d368']",http://www.starwoodhotels.com/pub/media/3278/fpt3278ex.86229_tn.jpg,3278
4,Pointe Aux Piments,(230) 204 3344,Le Méridien Ile Maurice,Mauritius,,Village Hall Lane,lemeridien,(230) 204 3333,,,"-20.0465504,57.5377073",2010-09-22T16:25:55,"[u'6', u'6c', u'6c4', u'6c4a', u'6c4a7', u'6c4a7e', u'6c4a7ee', u'6c4a7ee6', u'6c4a7ee63', u'6c4a7ee634', u'6c4a7ee6346', u'6c4a7ee6346d', u'6c4a7ee6346d4']",http://www.starwoodhotels.com/pub/media/1800/mer1800ag.85261_tn.jpg,1800
2,Orlando,(407) 239-1778,Sheraton Safari Hotel & Suites Lake Buena Vista,United States,,12205 S Apopka Vineland Road,sheraton,(407) 239-0444,Florida,32836,"28.386951,-81.504955",2010-09-23T08:08:27,"[u'9', u'98', u'989', u'9894', u'98942', u'989422', u'989422e', u'989422ee', u'989422ee3', u'989422ee37', u'989422ee37e', u'989422ee37eb', u'989422ee37ebd']",http://www.starwoodhotels.com/pub/media/1162/she1162ex.17232_tn.jpg,1162
5,Mammoth Lakes,(760) 934-4686,"The Westin Monache Resort, Mammoth",United States,PO Box 388,50 Hillside Drive,westin,(760) 934-0400,California,93546,"37.6489959,-118.985945",2010-09-24T12:18:04,"[u'8', u'8e', u'8e6', u'8e67', u'8e679', u'8e6794', u'8e67948', u'8e67948f', u'8e67948f9', u'8e67948f92', u'8e67948f923', u'8e67948f9231', u'8e67948f9231a']",http://www.starwoodhotels.com/pub/media/1562/wes1562ex.68119_tn.jpg,1562
5,Key West,(305) 294-4086,The Westin Key West Resort & Marina,United States,,245 Front Street,westin,(305) 294-4000,Florida,33040,"24.558048,-81.807425",2010-09-24T15:42:50,"[u'9', u'98', u'981', u'9819', u'9819f', u'9819f9', u'9819f9a', u'9819f9a7', u'9819f9a73', u'9819f9a734', u'9819f9a734e', u'9819f9a734eb', u'9819f9a734ebe']",http://www.starwoodhotels.com/pub/media/1780/wes1780ex.78347_tn.jpg,1780
4,"Koloa, Kauai",(808) 742-9777,Sheraton Kauai Resort,United States,,2440 Hoonani Road,sheraton,(808) 742-1661,Hawaii,96756,"21.877346,-159.4623719",2010-09-23T01:40:16,"[u'8', u'82', u'82f', u'82fe', u'82fe4', u'82fe43', u'82fe43e', u'82fe43e6', u'82fe43e67', u'82fe43e670', u'82fe43e670a', u'82fe43e670a4', u'82fe43e670a47']",http://www.starwoodhotels.com/pub/media/379/she379ex.22895_tn.jpg,379
7,Punta de Mita,(52)(329) 291 5801,The St. Regis Punta Mita Resort,Mexico,"Carretera Federal 200, km 19.5",Lote H-4,stregis,(52)(329) 291 5800,Nayarit,63734,"20.7693,-105.5381",2010-09-23T00:31:55,"[u'8', u'87', u'87b', u'87b2', u'87b2d', u'87b2d5', u'87b2d58', u'87b2d587', u'87b2d587b', u'87b2d587b6', u'87b2d587b6a', u'87b2d587b6aa', u'87b2d587b6aa0']",http://www.starwoodhotels.com/pub/media/1734/str1734po.70298_tn.jpg,1734
3,Busan,(82)(51) 742 1313,"The Westin Chosun, Busan",South Korea,,"P.O. Box 29, Haeundae, 737 Woo 1-Dong",westin,(82)(51) 749 7000,,612-600,"35.15542,129.15253",2010-09-23T22:04:50,"[u'd', u'db', u'db4', u'db47', u'db47f', u'db47fb', u'db47fbb', u'db47fbbf', u'db47fbbfc', u'db47fbbfca', u'db47fbbfca0', u'db47fbbfca08', u'db47fbbfca088']",http://www.starwoodhotels.com/pub/media/1063/wes1063ex.3844_tn.jpg,1063
4,New Orleans,(504) 523-2910,W New Orleans - French Quarter,United States,,316 Chartres Street,whotels,(504) 581-1200,Louisiana,70130,"29.954619,-90.0663163",2010-09-23T10:48:53,"[u'8', u'8d', u'8dd', u'8ddd', u'8dddd', u'8dddd7', u'8dddd78', u'8dddd78d', u'8dddd78d5', u'8dddd78d5c', u'8dddd78d5c7', u'8dddd78d5c71', u'8dddd78d5c71b']",http://www.starwoodhotels.com/pub/media/97508/who97508ag.82365_tn.jpg,97508
1,Surabaya,(62)(31) 5467000,Sheraton Surabaya Hotel & Towers,Indonesia,,Jalan Embong Malang  25-31,sheraton,(62)(31) 5468000,East Java,60261,"-7.259979,112.736638",2010-09-22T17:18:14,"[u'7', u'7b', u'7b2', u'7b22', u'7b228', u'7b228c', u'7b228ce', u'7b228ce5', u'7b228ce58', u'7b228ce58b', u'7b228ce58b9', u'7b228ce58b90', u'7b228ce58b90a']",http://www.starwoodhotels.com/pub/media/164/she164ex.76532_tn.jpg,164
2,Richmond,(604) 214-0887,Four Points by Sheraton Vancouver Airport,Canada,,8368 Alexandra Road,fourpoints,(604) 214-0888,British Columbia,V6X 4A6,"49.1783482,-123.1311994",2010-09-24T12:22:05,"[u'a', u'a4', u'a46', u'a462', u'a462b', u'a462bf', u'a462bf0', u'a462bf02', u'a462bf026', u'a462bf0264', u'a462bf02649', u'a462bf02649c', u'a462bf02649c2']",http://www.starwoodhotels.com/pub/media/213/fpt213ex.75520_tn.jpg,213
3,Levis,(418) 830-0549,Four Points by Sheraton Lévis Convention Centre,Canada,,5800 Rue J. B. Michaud,fourpoints,(418) 838-0025,Quebec,G6V 0B3,"46.790729,-71.162987",2010-09-24T12:26:05,"[u'b', u'b0', u'b05', u'b059', u'b0599', u'b05994', u'b059949', u'b059949b', u'b059949ba', u'b059949bae', u'b059949baef', u'b059949baef0', u'b059949baef01']",http://www.starwoodhotels.com/pub/media/1775/fpt1775ex.67647_tn.jpg,1775
4,Nuremberg,(49)(911) 232 2444,Le Méridien Grand Hotel Nuremberg,Germany,,Bahnhofstrasse 1-3,lemeridien,(49)(911) 23220,,90402,"49.44767,11.0833",2010-09-24T12:30:05,"[u'e', u'e0', u'e03', u'e03d', u'e03d7', u'e03d76', u'e03d760', u'e03d760b', u'e03d760b6', u'e03d760b66', u'e03d760b669', u'e03d760b6695', u'e03d760b6695a']",http://www.starwoodhotels.com/pub/media/1854/mer1854wn.48080_tn.jpg,1854
4,Atlanta,(404) 582-5805,W Atlanta - Downtown,United States,,45 Ivan Allen Jr. Boulevard,whotels,(404) 582-5800,Georgia,30308,"33.7646784,-84.3887299",2010-09-23T18:22:07,"[u'9', u'9a', u'9a0', u'9a05', u'9a055', u'9a0555', u'9a05557', u'9a055573', u'9a0555736', u'9a05557362', u'9a055573628', u'9a0555736280', u'9a05557362800']",http://www.starwoodhotels.com/pub/media/1788/who1788lo.74694_tn.jpg,1788
4,Shenzhen,(86)(755) 8888 1233,"Sheraton Dameisha Resort, Shenzhen",China,"Dameisha, Yantian",9 Yankui Road,sheraton,(86)(755) 8888 6688,Guangdong,518083,"22.59345,114.30789",2010-09-23T02:28:28,"[u'd', u'd9', u'd90', u'd901', u'd9011', u'd90118', u'd901184', u'd9011849', u'd90118490', u'd901184901', u'd9011849017', u'd90118490179', u'd901184901795']",http://www.starwoodhotels.com/pub/media/1968/she1968ex.55458_tn.jpg,1968
4,Sao Paulo,(55)(11) 3055 8001,Sheraton Sao Paulo WTC Hotel,Brazil,Brooklin Novo,Nacoes Unidas Ave 12559,sheraton,(55)(11) 3055 8000,Sao Paulo,04578-903,"-23.6074052,-46.6972471",2010-09-22T15:53:40,"[u'3', u'33', u'33f', u'33fc', u'33fc7', u'33fc78', u'33fc78e', u'33fc78e5', u'33fc78e5a', u'33fc78e5a0', u'33fc78e5a0b', u'33fc78e5a0bc', u'33fc78e5a0bc6']",http://www.starwoodhotels.com/pub/media/3438/she3438ex.80013_tn.jpg,3438
2,Shanghai,(86)(21) 2602 2338,"Four Points by Sheraton Shanghai, Daning",China,,1928 Gong He Xin Road,fourpoints,(86)(21) 2602 2222,Shanghai,200072,"31.5817947,121.5231598",2010-09-23T12:41:55,"[u'd', u'd9', u'd9b', u'd9b4', u'd9b4b', u'd9b4bc', u'd9b4bcc', u'd9b4bccc', u'd9b4bcccc', u'd9b4bcccc3', u'd9b4bcccc37', u'd9b4bcccc371', u'd9b4bcccc371c']",http://www.starwoodhotels.com/pub/media/1986/fpt1986ex.49546_tn.jpg,1986
5,Maui,(808) 661-5764,"The Westin Maui Resort & Spa, Ka'anapali",United States,Lahaina,2365 Kaanapali Parkway,westin,(808) 667-2525,Hawaii,96761,"20.919806,-156.694844",2010-09-23T00:35:55,"[u'8', u'83', u'83a', u'83a2', u'83a2e', u'83a2e1', u'83a2e10', u'83a2e104', u'83a2e104c', u'83a2e104c9', u'83a2e104c98', u'83a2e104c98e', u'83a2e104c98e5']",http://www.starwoodhotels.com/pub/media/1028/wes1028ex.15423_tn.jpg,1028
2,Plateau de Serpent,(253) 328888,Sheraton Djibouti Hotel,Djibouti,,BP 1924,sheraton,(253) 328000,,,"11.588,43.145",2010-09-22T20:11:00,"[u'c', u'c3', u'c35', u'c354', u'c3546', u'c3546e', u'c3546ed', u'c3546ede', u'c3546ede1', u'c3546ede10', u'c3546ede10f', u'c3546ede10fe', u'c3546ede10fee']",http://www.starwoodhotels.com/pub/media/466/she466ex.3605_tn.jpg,466
3,Philadelphia test,(215) 365-6035,Four Points by Sheraton Philadelphia Airport,United States,,4101A Island Avenue,fourpoints,(215) 492-0400,Pennsylvania,19153,"39.8925114,-75.2304038",2010-09-24T05:27:10,"[u'9', u'9a', u'9ac', u'9ac4', u'9ac4c', u'9ac4ca', u'9ac4caa', u'9ac4caa0', u'9ac4caa06', u'9ac4caa06d', u'9ac4caa06dc', u'9ac4caa06dcb', u'9ac4caa06dcb8']",http://www.starwoodhotels.com/pub/media/123/fpt123ex.62983_tn.jpg,123
3,Lakewood,(303) 969-0263,Sheraton Denver West Hotel,United States,,360 Union Boulevard,sheraton,(303) 987-2000,Colorado,80228,"39.721539,-105.131811",2010-09-24T12:34:06,"[u'8', u'8f', u'8f9', u'8f91', u'8f912', u'8f912f', u'8f912ff', u'8f912ff9', u'8f912ff91', u'8f912ff919', u'8f912ff9199', u'8f912ff9199e', u'8f912ff9199eb']",http://www.starwoodhotels.com/pub/media/883/she883ex.81090_tn.jpg,883
4,Cambridge,(617) 868-8322,Sheraton Commander Hotel,United States,,16 Garden Street,sheraton,(617) 547-4800,Massachusetts,02138,"42.377378,-71.123149",2010-09-24T12:38:06,"[u'9', u'9a', u'9af', u'9af1', u'9af13', u'9af134', u'9af1347', u'9af13472', u'9af134721', u'9af134721c', u'9af134721c5', u'9af134721c53', u'9af134721c53a']",http://www.starwoodhotels.com/pub/media/607/she607ex.23478_tn.jpg,607
4,Key West,(305) 294-6009,Sheraton Suites Key West,United States,,2001 South Roosevelt Boulevard,sheraton,(305) 292-9800,Florida,33040,"24.5526519,-81.7722469",2010-09-23T03:50:38,"[u'9', u'98', u'981', u'9819', u'9819f', u'9819f9', u'9819f9c', u'9819f9cb', u'9819f9cb7', u'9819f9cb73', u'9819f9cb738', u'9819f9cb7383', u'9819f9cb73830']",http://www.starwoodhotels.com/pub/media/760/she760ex.71984_tn.jpg,760
4,Seattle,(206) 264-6100,W Seattle,United States,,1112 4th Avenue,whotels,(206) 264-6000,Washington,98101,"47.607384,-122.333633",2010-09-24T12:42:07,"[u'a', u'a4', u'a44', u'a44b', u'a44b8', u'a44b8a', u'a44b8a2', u'a44b8a23', u'a44b8a237', u'a44b8a2373', u'a44b8a23731', u'a44b8a237317', u'a44b8a237317b']",http://www.starwoodhotels.com/pub/media/1154/na1154ex1_tn.jpg,1154
4,New York,(212) 229-1018,Four Points by Sheraton Manhattan SoHo Village,United States,,66 Charlton Street,fourpoints,(212) 229-9988,New York,10014,"40.7271626,-74.0060747",2010-09-24T12:46:09,"[u'9', u'9a', u'9ac', u'9ac7', u'9ac7b', u'9ac7b9', u'9ac7b9f', u'9ac7b9f5', u'9ac7b9f56', u'9ac7b9f561', u'9ac7b9f561e', u'9ac7b9f561ec', u'9ac7b9f561ecd']",http://www.starwoodhotels.com/pub/media/1537/fpt1537ex.64447_tn.jpg,1537
4,Cologne,(49)(221) 2024444,Dom Hotel,Germany,,Domkloster 2a,lemeridien,(49)(221) 20240,,50667,"50.9404804,6.9565521",2010-09-24T07:27:22,"[u'e', u'e0', u'e09', u'e090', u'e0907', u'e0907f', u'e0907f0', u'e0907f0c', u'e0907f0cb', u'e0907f0cb6', u'e0907f0cb6b', u'e0907f0cb6b4', u'e0907f0cb6b4f']",http://www.starwoodhotels.com/pub/media/1855/mer1855wn.48038_tn.jpg,1855
5,Tixkokob,(52) (999) 924 1534,Hacienda San Jose,Mexico,Tixkokob-Tekanto,KM 30 Carretera,luxury,(52)(999) 924 1333,Yucatan,97470,"21.0021037,-89.40007",2010-09-23T00:43:59,"[u'9', u'92', u'92a', u'92a2', u'92a2b', u'92a2b6', u'92a2b6f', u'92a2b6f9', u'92a2b6f98', u'92a2b6f98d', u'92a2b6f98d1', u'92a2b6f98d16', u'92a2b6f98d16f']",http://www.starwoodhotels.com/pub/media/1377/lux1377po.91276_tn.jpg,1377
4,Phuket,(66)(76) 324 108,"Sheraton Grande Laguna, Phuket",Thailand,"Tambol Cherng Talay, Talang","10 Moo 4, Srisoonthorn Road",luxury,(66)(76) 324 101,,83110,"8.0707888,98.3307468",2010-09-22T19:30:51,"[u'd', u'd0', u'd09', u'd09b', u'd09b7', u'd09b7e', u'd09b7ed', u'd09b7ed8', u'd09b7ed86', u'd09b7ed86b', u'd09b7ed86ba', u'd09b7ed86ba0', u'd09b7ed86ba05']",http://www.starwoodhotels.com/pub/media/489/lux489ex.45428_tn.jpg,489
3,Anaheim,(714) 971-3626,Sheraton Park Hotel at the Anaheim Resort,United States,,1855 South Harbor Boulevard,sheraton,(714) 750-1811,California,92802,"33.801046,-117.91597",2010-09-23T18:46:18,"[u'8', u'8e', u'8e5', u'8e50', u'8e500', u'8e5006', u'8e50061', u'8e50061c', u'8e50061c8', u'8e50061c82', u'8e50061c827', u'8e50061c8273', u'8e50061c8273e']",http://www.starwoodhotels.com/pub/media/1569/she1569ex.33668_tn.jpg,1569
4,Istanbul,(90)(212) 2850951,Sheraton Istanbul Maslak Hotel,Turkey,,"Buyukdere Caddesi, 233",sheraton,(90)(212) 3359999,,,"41.0715426,29.0156659",2010-09-24T12:50:09,"[u'c', u'cb', u'cb9', u'cb98', u'cb986', u'cb986c', u'cb986c8', u'cb986c86', u'cb986c868', u'cb986c868e', u'cb986c868e1', u'cb986c868e12', u'cb986c868e120']",http://www.starwoodhotels.com/pub/media/3083/she3083ex.59515_tn.jpg,3083
3,Philadelphia,(215) 220-4626,Sheraton Suites Philadelphia Airport,United States,,4101 B Island Avenue,sheraton,(215) 365-6600,Pennsylvania,19153,"39.8905096,-75.2315997",2010-09-24T12:54:10,"[u'9', u'9a', u'9ac', u'9ac4', u'9ac4c', u'9ac4ca', u'9ac4ca8', u'9ac4ca8a', u'9ac4ca8ac', u'9ac4ca8aca', u'9ac4ca8aca0', u'9ac4ca8aca01', u'9ac4ca8aca01b']",http://www.starwoodhotels.com/pub/media/1047/she1047ex.62114_tn.jpg,1047
2,Madison,(608) 251-1189,Sheraton Madison Hotel,United States,,706 John Nolen Drive,sheraton,(608) 251-2300,Wisconsin,53713,"43.0468582,-89.3742934",2010-09-24T12:58:11,"[u'9', u'9a', u'9aa', u'9aa2', u'9aa21', u'9aa21f', u'9aa21f8', u'9aa21f81', u'9aa21f81f', u'9aa21f81fc', u'9aa21f81fc4', u'9aa21f81fc42', u'9aa21f81fc42a']",http://www.starwoodhotels.com/pub/media/759/na759ex1_tn.jpg,759
3,Bologna,(39)(051) 6415140,Sheraton Bologna Hotel & Conference Center,Italy,,Via dell'Aeroporto 34/36,sheraton,(39)(051) 400056,,40132,"44.5301663,11.2873517",2010-09-24T06:35:18,"[u'c', u'ca', u'cae', u'caea', u'caea2', u'caea22', u'caea223', u'caea2234', u'caea2234f', u'caea2234fa', u'caea2234fa5', u'caea2234fa50', u'caea2234fa506']",http://www.starwoodhotels.com/pub/media/310/she310ex.10759_tn.jpg,310
4,Atlanta,(404) 589-7424,"The Westin Peachtree Plaza, Atlanta",United States,,210 Peachtree St,westin,(404) 659-1400,Georgia,30303,"33.758991,-84.388218",2010-09-23T18:14:06,"[u'9', u'9a', u'9a0', u'9a05', u'9a055', u'9a0555', u'9a05555', u'9a05555b', u'9a05555b6', u'9a05555b61', u'9a05555b613', u'9a05555b613d', u'9a05555b613d5']",http://www.starwoodhotels.com/pub/media/1023/na1023ex3_tn.jpg,1023
4,Reston,(703) 391-9115,The Westin Reston Heights,United States,,11750 Sunrise Valley Drive,westin,(703) 391-9000,Virginia,20191,"38.950328,-77.352126",2010-09-24T13:02:11,"[u'9', u'9a', u'9a6', u'9a6a', u'9a6a7', u'9a6a7d', u'9a6a7d7', u'9a6a7d76', u'9a6a7d763', u'9a6a7d763d', u'9a6a7d763d4', u'9a6a7d763d43', u'9a6a7d763d43c']",http://www.starwoodhotels.com/pub/media/1752/wes1752ex.61594_tn.jpg,1752
4,Podstrana - Split,(385)(21) 500705,"Le Méridien Lav, Split",Croatia,,"Grljevacka, 2A",lemeridien,(385)(21) 500500,,21312,"43.48461,16.55153",2010-09-24T13:06:12,"[u'c', u'ca', u'cae', u'cae7', u'cae7f', u'cae7f2', u'cae7f29', u'cae7f291', u'cae7f2912', u'cae7f29121', u'cae7f291215', u'cae7f291215b', u'cae7f291215b2']",http://www.starwoodhotels.com/pub/media/1956/mer1956po.40408_tn.jpg,1956
4,Cancun,(52)(998) 891 4201,"The Westin Lagunamar Ocean Resort Villas, Cancun",Mexico,"Zona Hotelera, PO Box 834 Apdo.",KM. 12.5 Blvd Kukulcan,westin,(52)(998) 891 4200,Quintana Roo,77500,"21.158964,-86.845937",2010-09-23T00:56:12,"[u'9', u'92', u'92a', u'92ac', u'92ac0', u'92ac07', u'92ac077', u'92ac077e', u'92ac077e8', u'92ac077e8e', u'92ac077e8ef', u'92ac077e8ef9', u'92ac077e8ef97']",http://www.starwoodhotels.com/pub/media/5646/svo5646ex.68742_tn.jpg,5646
